temperature,humidity,datetime
24.0,39.0,2022-10-22 18:14:08.250168
24.0,39.0,2022-10-22 18:14:08.776077
24.0,39.0,2022-10-22 18:14:09.301923
24.0,39.0,2022-10-22 18:14:09.827829
24.0,39.0,2022-10-22 18:14:10.353731
24.0,39.0,2022-10-22 18:14:10.879515
24.0,39.0,2022-10-22 18:14:11.405402
24.0,39.0,2022-10-22 18:14:11.931252
24.0,39.0,2022-10-22 18:14:12.457202
24.0,39.0,2022-10-22 18:14:12.983074
24.0,39.0,2022-10-22 18:14:13.508942
24.0,39.0,2022-10-22 18:14:14.034812
24.0,39.0,2022-10-22 18:14:14.560719
24.0,39.0,2022-10-22 18:14:15.086634
24.0,39.0,2022-10-22 18:14:15.612482
24.0,39.0,2022-10-22 18:14:16.138315
24.0,39.0,2022-10-22 18:14:16.664165
24.0,39.0,2022-10-22 18:14:17.190030
24.0,39.0,2022-10-22 18:14:20.247278
24.0,39.0,2022-10-22 18:14:25.831592
24.0,39.0,2022-10-22 18:14:26.357315
24.0,39.0,2022-10-22 18:14:26.883148
24.0,39.0,2022-10-22 18:14:27.409005
24.0,39.0,2022-10-22 18:14:27.934881
24.0,39.0,2022-10-22 18:14:28.460734
24.0,39.0,2022-10-22 18:14:28.986729
